X,Y
57.25714285714286,665.3285714285714
78.56,256.644
154.32105263157894,763.9315789473684
300.5282051282051,226.2
305.3378119001919,455.89059500959695
345.6978021978022,502.1043956043956
348.6666666666667,385.24242424242425
353.145,451.11
370.6901408450704,515.8826291079812
371.0688202247191,462.5252808988764
379.4640883977901,509.3646408839779
378.86170212765956,542.5
384.6641221374046,280.44274809160305
479.50857142857143,95.82285714285715
488.275720164609,232.52674897119343
500.1224489795918,261.48979591836735
499.97278911564626,284.8707482993197
503.0,147.648
511.0760456273764,190.90114068441065
510.8521739130435,553.4347826086956
511.54716981132077,734.8490566037735
515.0,100.632
516.081081081081,121.07432432432432
517.2969696969697,82.35757575757576
518.9132947976879,48.554913294797686
519.5900621118012,216.63975155279502
519.7666666666667,231.575
522.0677966101695,299.135593220339
522.1945525291828,149.40856031128405
522.8606060606061,265.6
524.568493150685,577.068493150685
525.7837837837837,603.5135135135135
526.7816091954023,562.9425287356322
527.8709677419355,95.3225806451613
533.2696629213483,71.50561797752809
535.2213740458016,226.4351145038168
540.0738636363636,109.92613636363636
540.5148514851485,175.66336633663366
541.1702127659574,656.5
543.1204819277109,302.5903614457831
543.0540540540541,629.9009009009009
544.7647058823529,649.3235294117648
543.9363057324841,688.9872611464968
546.3695652173913,774.6195652173913
546.946127946128,75.43434343434343
547.8333333333334,621.7083333333334
549.5,156.75
552.4829268292683,53.33658536585366
557.78,211.04
559.1683673469388,98.89795918367346
561.010752688172,147.13440860215053
561.3372093023256,167.66860465116278
561.8785046728972,694.5140186915888
565.3092783505155,283.37113402061857
565.2570093457944,767.0233644859813
564.8059701492538,658.044776119403
568.95,221.0
570.2037914691944,649.8436018957347
573.3103448275862,265.28735632183907
574.8936170212766,212.17021276595744
575.4672897196261,616.1308411214953
575.6020408163265,799.9030612244898
576.6582914572864,149.27638190954775
577.6909090909091,28.672727272727272
579.4913793103449,272.62931034482756
580.5703703703704,669.3555555555556
578.2352941176471,729.655462184874
579.8852459016393,754.9180327868852
583.0403225806451,113.06451612903226
582.6878612716763,124.6300578034682
585.9447852760736,313.1963190184049
584.4131736526946,567.7604790419161
584.9134615384615,714.3173076923077
587.4125874125874,726.951048951049
589.2708333333334,173.03125
591.2222222222222,110.16666666666667
591.9607843137255,196.37254901960785
591.5,214.5
592.9312977099237,631.0458015267176
597.2230215827338,667.7913669064748
597.4242424242424,150.07575757575756
599.7058823529412,244.23529411764707
599.5859375,301.375
601.3235294117648,685.7254901960785
602.5075376884422,787.9949748743719
603.495145631068,85.69902912621359
603.2215189873418,630.0759493670886
606.4444444444445,709.3181818181819
604.5471698113207,751.1761006289308
606.0,113.85
606.7605633802817,177.45070422535213
606.04,738.304
608.306358381503,156.65895953757226
608.8805970149253,693.955223880597
611.530487804878,130.34146341463415
611.2,183.7375
612.1688311688312,635.4805194805194
612.9113924050633,264.8607594936709
613.9130434782609,726.6583850931677
615.2364864864865,612.027027027027
619.3478260869565,672.0683229813665
619.2142857142857,331.42261904761904
620.9726775956284,157.66666666666666
620.944,196.728
621.4964539007092,279.20567375886526
625.4121621621622,88.10135135135135
624.9875776397515,695.5590062111801
627.5,182.04545454545453
627.425,732.7125
628.4492753623189,222.2173913043478
629.5665024630542,244.43349753694582
628.6803278688525,502.2049180327869
629.0240963855422,135.75903614457832
630.1900826446281,591.3471074380166
632.0815217391304,111.70108695652173
634.4047619047619,195.34920634920636
633.896,652.752
636.3317535545024,691.260663507109
641.3480662983426,167.72375690607734
638.9083969465648,274.39694656488547
639.7011494252873,289.55172413793105
640.3333333333334,722.2357723577236
641.2751322751323,185.24867724867724
641.9272727272727,582.3636363636364
641.9629629629629,702.8518518518518
646.7935483870967,202.8258064516129
648.4015151515151,132.24242424242425
650.91,258.23
652.425925925926,156.25
657.5813953488372,114.1937984496124
657.7375,179.1125
657.5737704918033,728.9398907103825
660.9548872180451,213.08270676691728
665.3070866141733,130.58267716535434
665.1119402985074,280.0149253731343
663.5106837606837,700.6153846153846
667.5,542.7890625
669.8511904761905,227.95833333333334
669.6691176470588,156.5735294117647
673.4269662921348,597.4550561797753
675.5976331360947,136.71597633136093
678.301724137931,175.36206896551724
680.1416666666667,631.6
681.8235294117648,267.1344537815126
687.3932584269663,230.8988764044944
688.4920634920635,667.5079365079365
690.6666666666666,268.74285714285713
690.495238095238,192.2904761904762
705.1805555555555,241.36805555555554
762.5328467153284,580.5693430656934
